x,y,Elevasi,G  drift,G lokal,G obs,G lintang,FAA,BC Paras,SBA Paras,TC Paras,CBA Paras
420585.234,9018888.319,26,5532.422,0,978303.223,978155.328,155.922,2.081,153.841,0.415,154.256
419596.193,9018182.858,30,5533.905966,1.483965611,978304.665,978155.504,158.424,2.401,156.023,1.036,157.059
419591.381,9017834.567,20,5537.742321,5.320320819,978308.507,978155.591,159.091,1.601,157.490,0.71,158.200
419941.843,9017988.942,17,5538.636143,6.214142514,978309.400,978155.553,159.096,1.361,157.735,0.478,158.213
419781.965,9017653.002,15,5539.877695,7.455694812,978310.642,978155.637,159.637,1.201,158.436,0.543,158.979
419860.000,9017438.000,11,5540.962818,8.540817599,978311.721,978155.691,159.427,0.880,158.547,0.567,159.114
420096.000,9017475.000,13,5541.389155,8.967154966,978312.144,978155.681,160.477,1.040,159.436,0.383,159.819
419858.000,9017204.000,9,5541.185482,8.763481768,978311.946,978155.749,158.975,0.720,158.255,0.731,158.986
419975.673,9016999.447,7,5542.13915,9.717150276,978312.894,978155.800,159.255,0.560,158.695,0.879,159.574
420224.035,9017069.591,6,5542.437829,10.015829,978313.196,978155.783,159.266,0.480,158.786,0.482,159.268
420501.018,9017123.203,5,5541.974777,9.552777469,978312.732,978155.770,158.506,0.400,158.106,0.298,158.404
420542.777,9016966.392,5,5542.219595,9.797595176,978312.971,978155.809,158.706,0.400,158.305,0,158.305
420454.000,9017283.000,8,5541.692526,9.270526156,978312.451,978155.730,159.192,0.640,158.551,0.291,158.842
420414.532,9017492.323,10,5541.398492,8.976491767,978312.150,978155.677,159.561,0.800,158.760,0.281,159.041
420290.901,9017793.594,10,5539.706907,7.284906724,978310.467,978155.602,157.953,0.800,157.153,0.31,157.463
420209.517,9018026.396,15,5538.497902,6.075902385,978305.483,978155.544,154.571,1.201,153.370,0.337,153.707
420193.639,9018498.921,17,5534.728566,2.306565611,978306.303,978155.425,156.127,1.361,154.766,0.47,155.236
420664.000,9018424.000,17,5536.364752,3.942752271,978307.123,978155.444,156.928,1.361,155.567,0.416,155.983
420636.637,9018061.062,10,5539.30544,6.883439914,978310.030,978155.535,157.582,0.800,156.782,0.329,157.111
420950.168,9017982.973,11,5540.252698,7.830698396,978311.009,978155.555,158.850,0.880,157.970,0.404,158.374
421101.110,9017602.011,13,5541.68955,9.267549791,978312.453,978155.650,160.816,1.040,159.776,0.307,160.083
421185.000,9017507.000,10,5543.241284,10.81928368,978313.995,978155.674,161.409,0.800,160.608,0.334,160.942
420688.000,9017756.000,11,5541.276714,8.854714136,978312.038,978155.611,159.823,0.880,158.943,0.28,159.223
420747.000,9017510.000,7,5542.126603,9.704602857,978312.886,978155.673,159.374,0.560,158.814,0.252,159.066
421058.000,9017246.000,8,5543.150602,10.72860181,978313.912,978155.739,160.643,0.640,160.003,0.226,160.229
420771.552,9017213.620,8,5542.409839,9.987839159,978313.169,978155.747,159.892,0.640,159.252,0.238,159.490
421385.386,9017124.476,9,5543.962038,11.54003814,978314.732,978155.770,161.741,0.720,161.021,0.244,161.265
421190.187,9017082.306,6,5543.459962,11.03796219,978314.224,978155.780,160.297,0.480,159.816,0.212,160.028
420964.906,9016903.417,6,5543.301933,10.87993308,978314.058,978155.825,160.085,0.480,159.605,0,159.605
421172.952,9016840.577,6,5544.211392,11.78939229,978314.975,978155.841,160.987,0.480,160.507,0,160.507
421332.000,9016792.000,7,5544.171893,11.74989306,978314.935,978155.853,161.243,0.560,160.683,0,160.683
421480.000,9017335.000,9,5543.801543,11.16054264,978314.354,978155.717,161.415,0.720,160.695,0.362,161.057
421556.000,9016754.000,5,5544.646794,12.00579356,978315.190,978155.863,160.871,0.400,160.471,0,160.471
421801.000,9016674.000,8,5545.440365,12.79936466,978315.975,978155.883,162.563,0.640,161.923,0,161.923
421981.993,9016613.043,6,5545.763212,13.12221181,978316.302,978155.898,162.257,0.480,161.777,0,161.777
422295.000,9016581.000,6,5546.14678,13.50578033,978316.690,978155.906,162.636,0.480,162.156,0.131,162.287
422430.652,9016761.172,5,5545.584665,12.94366462,978316.122,978155.861,161.804,0.400,161.404,0.18,161.584
422580.097,9016636.297,11,5545.016649,12.37564895,978315.559,978155.892,163.063,0.880,162.182,0.132,162.314
422534.000,9016461.000,7,5545.404899,12.7638991,978315.942,978155.936,162.167,0.560,161.607,0.115,161.722
422733.000,9016139.000,7,5545.529997,12.88899732,978316.069,978156.017,162.213,0.560,161.653,0.085,161.738
422907.000,9015779.000,5,5545.462462,12.8214623,978316.005,978156.107,161.442,0.400,161.042,0.071,161.113
422849.490,9015472.559,6,5546.262604,13.6216036,978316.800,978156.184,162.469,0.480,161.988,0.082,162.070
422824.000,9015667.000,5,5545.626325,12.98532483,978316.164,978156.135,161.573,0.400,161.172,0,161.172
422812.000,9015934.000,6,5545.45286,12.81186047,978315.989,978156.068,161.773,0.480,161.293,0.074,161.367
422625.329,9016267.759,5,5545.214243,12.57324263,978315.755,978155.985,161.314,0.400,160.913,0.101,161.014
422821.000,9016395.000,5,5545.410959,12.76995945,978315.952,978155.953,161.542,0.400,161.142,0.105,161.247
422994.000,9016335.000,8,5545.476228,12.83522772,978316.014,978155.968,162.516,0.640,161.875,0.092,161.967
423167.000,9016322.000,7,5545.309172,12.66817231,978315.851,978155.971,162.041,0.560,161.481,0.082,161.563
423044.581,9016790.088,7,5545.268912,12.62791166,978315.811,978155.854,162.118,0.560,161.558,0.131,161.689
423378.000,9015946.000,9,5545.213036,12.57203595,978315.753,978156.066,162.466,0.720,161.746,0.073,161.819
423692.000,9015673.000,8,5543.467526,10.82652576,978314.015,978156.134,160.351,0.640,159.711,0.059,159.770
424076.789,9016634.360,11,5544.346676,11.70567574,978314.889,978155.894,162.392,0.880,161.512,0.146,161.658
423296.991,9015471.194,11,5545.513636,12.87263557,978316.053,978156.185,163.265,0.880,162.385,0.061,162.446
422824.000,9015291.000,15,5544.640229,11.99922907,978315.176,978156.230,163.578,1.201,162.378,0,162.378
422779.503,9016836.798,8,5545.513516,12.87251594,978316.055,978155.842,162.683,0.640,162.042,0.171,162.213
422961.658,9017148.383,15,5543.843574,11.20257365,978314.385,978155.765,163.252,1.201,162.051,0.267,162.318
422764.381,9017447.751,20,5542.94274,10.30174007,978313.482,978155.690,163.968,1.601,162.367,0.35,162.717
422356.000,9016883.000,11,5544.937563,12.29656301,978315.475,978155.831,163.041,0.880,162.160,0.22,162.380
422126.000,9016889.000,12,5545.212917,12.57191669,978315.757,978155.829,163.633,0.960,162.673,0.21,162.883
421774.000,9016935.000,8,5545.300129,12.65912879,978315.841,978155.817,162.493,0.640,161.853,0,161.853
421666.000,9017164.000,12,5544.243174,11.60217447,978314.784,978155.760,162.729,0.960,161.769,0.378,162.147
424962.000,9016280.000,28,5539.034094,6.467093909,978309.648,978155.983,162.311,2.241,160.070,0.133,160.203
424632.648,9016313.096,16,5542.199455,9.632454967,978312.816,978155.974,161.782,1.281,160.502,0.178,160.680
424313.000,9016208.000,17,5542.118824,9.551824392,978312.732,978156.001,161.980,1.361,160.620,0.115,160.735
424608.000,9015974.000,10,5543.178042,10.61104233,978313.791,978156.059,160.819,0.800,160.019,0.245,160.264
424753.000,9015711.000,8,5543.50233,10.93533017,978314.121,978156.125,160.466,0.640,159.826,0.189,160.015
425095.376,9015330.479,7,5543.953907,11.38690663,978314.570,978156.221,160.510,0.560,159.950,0.088,160.038
425193.000,9015302.000,4,5543.807879,11.24087855,978314.424,978156.228,159.431,0.320,159.111,0.069,159.180
425311.055,9015234.021,6,5543.590726,11.02372596,978314.207,978156.245,159.814,0.480,159.334,0.067,159.401
424991.427,9014700.401,29,5537.137836,4.570836439,978307.757,978156.379,160.333,2.321,158.011,0,158.011
425148.722,9014602.620,37,5535.156005,2.589004664,978305.771,978156.403,160.792,2.961,157.830,0,157.830
425563.141,9015309.224,6,5543.574262,11.0072619,978314.189,978156.226,159.816,0.480,159.336,0,159.336
425603.414,9015472.491,7,5543.811642,11.24464189,978314.426,978156.185,160.401,0.560,159.841,0.086,159.927
425562.097,9015699.294,8,5543.072313,10.5053132,978313.687,978156.129,160.029,0.640,159.388,0.187,159.575
425622.436,9015833.187,4,5542.895206,10.32820558,978313.512,978156.095,158.652,0.320,158.332,0.126,158.458
425798.558,9016145.189,4,5542.388335,9.821334833,978312.998,978156.017,158.216,0.320,157.896,0.088,157.984
425589.000,9016600.000,3,5542.003757,9.436757435,978312.621,978155.903,157.645,0.240,157.405,0.105,157.510
425736.238,9016494.570,4,5542.331824,9.764823924,978312.945,978155.929,158.251,0.320,157.930,0.09,158.020
425949.000,9016435.000,4,5542.305606,9.738606482,978312.918,978155.944,158.208,0.320,157.888,0.079,157.967
426141.179,9016199.546,2,5542.523719,9.956719,978313.143,978156.004,157.757,0.160,157.596,0.057,157.653
426093.171,9015994.915,2,5543.186935,10.61993473,978313.805,978156.055,158.368,0.160,158.208,0.055,158.263
425982.486,9015914.666,3,5543.26182,10.69482001,978313.878,978156.075,158.729,0.240,158.489,0.06,158.549
426131.998,9015684.300,5,5543.841468,11.27446765,978314.453,978156.133,159.864,0.400,159.464,0.051,159.515
425927.000,9015789.000,5,5543.079583,10.51258253,978313.693,978156.106,159.130,0.400,158.730,0.066,158.796
426376.000,9015766.000,6,5543.533183,10.96618315,978314.145,978156.112,159.886,0.480,159.405,0.048,159.453
426551.000,9015692.000,6,5543.981982,11.41498212,978314.598,978156.131,160.319,0.480,159.839,0.043,159.882
426791.127,9015636.069,10,5544.711916,12.144916,978315.326,978156.145,162.269,0.800,161.469,0.041,161.510
426881.307,9015441.196,11,5544.928332,12.36133151,978315.543,978156.194,162.745,0.880,161.865,0.039,161.904
426967.745,9015247.311,6,5545.559584,12.99258384,978316.173,978156.242,161.784,0.480,161.303,0.039,161.342
426842.410,9015060.343,9,5545.772876,13.20587626,978316.388,978156.289,162.877,0.720,162.157,0.039,162.196
426649.000,9015114.000,9,5545.391245,12.82424458,978316.007,978156.276,162.510,0.720,161.789,0,161.789
423286.000,9016926.000,9,5544.570,12.071,978315.252,978155.820,162.210,0.720,161.490,0.127,161.617
423506.000,9016973.000,12,5543.693,11.194,978314.372,978155.809,162.268,0.960,161.308,0.103,161.411
423479.000,9017220.000,14,5543.572,11.073,978314.256,978155.747,162.831,1.121,161.711,0.136,161.847
423631.574,9017052.347,11,5543.277,10.778,978313.961,978155.789,161.569,0.880,160.688,0.115,160.803
423814.453,9017156.841,10,5543.146,10.647,978313.827,978155.763,161.152,0.800,160.351,0.118,160.469
423813.901,9017511.089,16,5542.885,10.386,978313.572,978155.674,162.838,1.281,161.558,0.159,161.717
423890.843,9017760.999,22,5542.138,9.639,978312.820,978155.612,164.001,1.761,162.240,0.198,162.438
424061.042,9017768.171,14,5541.405,8.906,978312.090,978155.610,160.803,1.121,159.682,0.185,159.867
424001.000,9017196.000,11,5542.618,10.119,978313.304,978155.753,160.947,0.880,160.067,0.129,160.196
424293.000,9017196.000,11,5542.236,9.737,978312.919,978155.753,160.562,0.880,159.682,0.163,159.845
424466.041,9017099.455,13,5541.611,9.112,978312.289,978155.777,160.526,1.040,159.485,0.186,159.671
424046.640,9016822.927,10,5543.174,10.675,978313.856,978155.846,161.097,0.800,160.296,0.139,160.435
424130.515,9016951.670,10,5542.901,10.402,978313.584,978155.814,160.858,0.800,160.057,0.155,160.212
424679.000,9016886.000,29,5538.524,6.025,978309.206,978155.831,162.329,2.321,160.008,0.185,160.193
424894.162,9016764.240,42,5535.955,3.456,978306.637,978155.862,163.744,3.362,160.382,0.164,160.546
424906.412,9016441.746,28,5536.342,3.843,978307.020,978155.942,159.723,2.241,157.482,0.158,157.640
425115.571,9016306.137,20,5540.552,8.053,978311.235,978155.976,161.434,1.601,159.833,0.141,159.974
425261.678,9016556.723,24,5538.343,5.844,978309.021,978155.914,160.518,1.921,158.597,0.183,158.780
426269.104,9017629.595,11,5540.080,7.581,978310.764,978155.646,158.515,0.880,157.635,0.116,157.751
426307.337,9017464.370,14,5539.066,6.567,978309.745,978155.687,158.380,1.121,157.260,0.15,157.410
426127.000,9017298.000,8,5540.815,8.316,978311.493,978155.729,158.235,0.640,157.595,0.13,157.725
425718.326,9017031.437,8,5541.508,9.009,978312.179,978155.795,158.854,0.640,158.213,0.104,158.317
425503.409,9016827.607,7,5541.976,9.477,978312.663,978155.846,158.979,0.560,158.419,0.14,158.559
426365.000,9015202.000,6,5544.005,11.506,978314.689,978156.254,160.288,0.480,159.808,0.042,159.850
426221.000,9015248.000,6,5544.446,11.947,978315.130,978156.242,160.740,0.480,160.260,0,160.260
420743.134,9016956.389,7,5542.281,9.89,978313.074,978155.811,159.424,0.560,158.863,0,158.863
427309.000,9014971.000,8,5545.709,13.32,978316.497,978156.312,162.655,0.640,162.015,0.046,162.061
427639.000,9015027.000,5,5545.967,13.57,978316.749,978156.298,161.995,0.400,161.595,0.063,161.658
427792.000,9015106.000,3,5545.461,13.07,978316.253,978156.278,160.901,0.240,160.661,0,160.661
428052.211,9014789.961,3,5546.911,14.52,978317.699,978156.358,162.268,0.240,162.027,0.101,162.128
427935.000,9014953.000,2,5546.437,14.04,978317.227,978156.317,161.528,0.160,161.368,0.081,161.449
425884.841,9015315.893,6,5543.363,10.97,978314.152,978156.225,159.780,0.480,159.300,0,159.300
425748.000,9015333.000,5,5543.588,11.19,978314.373,978156.220,159.697,0.400,159.296,0,159.296
426580.000,9017487.000,8,5539.923,7.53,978310.711,978155.681,157.499,0.640,156.859,0.195,157.054
426815.471,9017508.295,13,5539.582,7.19,978310.374,978155.676,158.712,1.040,157.671,0.104,157.775
427410.000,9017403.000,10,5541.036,8.64,978311.831,978155.703,159.216,0.800,158.415,0.073,158.488
427672.338,9017515.573,8,5541.758,9.36,978312.552,978155.675,159.348,0.640,158.707,0.12,158.827
427620.208,9017336.146,7,5542.052,9.66,978312.838,978155.720,159.279,0.560,158.719,0.097,158.816
427208.135,9017500.042,10,5540.270,7.88,978311.057,978155.678,158.466,0.800,157.666,0.079,157.745
427032.012,9017486.017,12,5539.541,7.15,978310.322,978155.682,158.345,0.960,157.384,0.079,157.463
423023.951,9016942.961,12,5544.180,12.11,978315.301,978155.816,163.191,0.960,162.230,0.163,162.393
423729.000,9017098.000,11,5542.612,10.54,978313.727,978155.777,161.346,0.880,160.465,0.117,160.582
423790.388,9017324.854,13,5542.851,10.78,978313.962,978155.721,162.255,1.040,161.215,0.123,161.338
423635.000,9017652.000,27,5542.805,10.74,978313.921,978155.639,166.618,2.161,164.457,0.256,164.713
424603.940,9017031.270,19,5540.206,8.14,978311.326,978155.795,161.398,1.521,159.878,0.158,160.036
424906.000,9016641.000,40,5538.814,6.75,978309.928,978155.892,166.386,3.201,163.184,0.159,163.343
425595.931,9016919.986,10,5541.402,9.33,978312.519,978155.823,159.784,0.800,158.983,0.109,159.092
425877.533,9017458.616,20,5538.555,6.49,978309.671,978155.688,160.158,1.601,158.557,0.135,158.692
425894.585,9017211.425,19,5538.485,6.42,978309.598,978155.750,159.715,1.521,158.194,0.094,158.288
425992.126,9016297.236,4,5542.644,10.58,978313.760,978155.979,159.016,0.320,158.696,0.071,158.767
422545.237,9016928.343,12,5544.482,12.42,978315.594,978155.819,163.479,0.960,162.519,0.24,162.759
422056.601,9016697.215,10,5545.461,13.39,978316.573,978155.877,163.784,0.800,162.983,0,162.983
421948.000,9016870.000,11,5545.096,13.03,978316.206,978155.834,163.768,0.880,162.888,0.203,163.091
421162.142,9017313.222,8,5543.414,11.35,978314.530,978155.722,161.277,0.640,160.637,0.247,160.884
420972.820,9017075.140,8,5542.969,10.90,978314.090,978155.782,160.778,0.640,160.138,0,160.138
420967.651,9017472.392,8,5542.914,10.85,978314.033,978155.682,160.821,0.640,160.181,0.258,160.439
420940.129,9017772.965,8,5541.477,9.41,978312.599,978155.607,159.462,0.640,158.822,0.334,159.156
420707.469,9017994.639,10,5539.686,7.62,978310.803,978155.552,158.339,0.800,157.538,0.319,157.857
420610.779,9018522.290,18,5535.166,3.10,978306.276,978155.420,156.414,1.441,154.974,0.414,155.388
420405.474,9018753.414,20,5533.883,1.82,978304.995,978155.362,155.808,1.601,154.208,0.479,154.687
